ROW_ID,LONGITUDE,LATITUDE,CRASH_TIME
74775,-73.8142,40.7045,00:00:00
74853,-73.9344,40.7460,03:24:00
74686,-73.8745,40.7433,09:44:00
74736,-74.1470,40.5732,18:10:00
74577,-73.9519,40.6921,07:36:00
74699,-74.0110,40.7163,04:56:00
74819,-73.9189,40.8611,04:25:00
74702,-73.9241,40.8425,05:51:00
74618,-73.9069,40.8427,04:15:00
74490,-73.8381,40.6713,22:15:00
74718,-73.8502,40.8283,04:46:00
74159,NULL,NULL,20:24:00
74757,-73.9872,40.5782,01:09:00
74107,-73.9446,40.6731,00:10:00
74199,-73.8374,40.6738,22:15:00
73500,-73.8444,40.8695,04:50:00
73610,-73.9247,40.8107,00:24:00
73895,-74.1021,40.5848,20:20:00
73976,NULL,NULL,05:00:00
74172,-73.8681,40.8582,21:58:00
73311,-73.8861,40.6671,01:45:00
73288,-73.9556,40.7643,06:45:00
74631,-74.0864,40.6107,03:30:00
74195,-74.1216,40.6106,15:00:00
74722,-73.8704,40.7622,04:20:00
73160,-73.9238,40.8644,22:00:00
72376,-73.9806,40.5793,00:11:00
72474,-73.8206,40.6851,19:40:00
71882,-73.9368,40.7902,22:53:00
74658,-74.0778,40.6441,01:50:00
71824,-73.9003,40.8371,17:35:00
74822,-73.9895,40.6234,02:25:00
71560,-74.1866,40.6032,03:08:00
71031,-73.9726,40.7451,19:03:00
70489,-73.8753,40.7630,04:15:00
70552,-73.7713,40.7642,01:56:00
70631,-73.8902,40.8635,02:15:00
70402,NULL,NULL,21:05:00
70019,-73.8016,40.6664,04:56:00
70364,-73.9895,40.7179,02:35:00
70868,-74.1332,40.5523,21:22:00
71535,-74.1759,40.6231,00:15:00
72527,-73.8574,40.8263,08:29:00
70045,-73.8718,40.8303,05:40:00
70756,-73.8689,40.8249,23:40:00
70141,-73.9334,40.7583,02:53:00
70367,-73.9680,40.5937,04:19:00
71170,-73.9392,40.5961,15:30:00
69883,-74.1025,40.6347,05:25:00
70116,-73.8395,40.6575,14:29:00
70266,-74.0058,40.7257,03:33:00
70485,-73.8510,40.8840,02:30:00
70471,-73.7693,40.7120,22:30:00
70278,-73.8024,40.6979,20:00:00
73485,-73.9856,40.7315,04:43:00
70669,-73.9705,40.6242,23:27:00
69430,-74.0789,40.6112,14:30:00
68974,-73.9073,40.7425,18:20:00
68555,-74.0171,40.6473,03:00:00
68870,-73.9157,40.8517,00:00:00
68931,-73.9848,40.7014,12:40:00
69478,NULL,NULL,01:05:00
68425,-73.8959,40.6519,08:00:00
69192,-74.1698,40.5414,01:00:00
67784,-73.9330,40.5946,01:46:00
67424,-73.8947,40.7426,04:00:00
68104,-74.0129,40.6282,23:16:00
67636,-74.0011,40.6030,23:05:00
70421,-73.9141,40.8201,01:20:00
72661,-73.8988,40.6420,02:15:00
66666,-73.9882,40.7186,02:20:00
67714,-73.9743,40.6321,17:40:00
66674,NULL,NULL,23:40:00
67261,-73.9079,40.6736,14:50:00
66807,-73.8806,40.7501,02:15:00
67082,NULL,NULL,07:21:00
67206,-73.8978,40.7352,19:25:00
67011,-73.9060,40.8494,05:28:00
66383,-73.9967,40.6651,00:30:00
67233,-73.9231,40.6467,11:45:00
66331,-73.9901,40.6210,21:45:00
67406,-73.9228,40.8174,18:45:00
70656,NULL,NULL,16:55:00
68755,-73.9159,40.8364,20:10:00
66876,-73.8590,40.8380,16:40:00
66389,-73.8710,40.8226,18:07:00
67040,-73.8169,40.6902,23:30:00
66023,-73.9325,40.6186,13:15:00
66096,-73.8573,40.6839,04:20:00
66407,-73.9116,40.7083,08:55:00
65963,NULL,NULL,01:05:00
66162,NULL,NULL,03:55:00
70593,-74.2178,40.5532,23:17:00
66653,-73.9073,40.6612,19:55:00
66013,-73.9065,40.8387,13:48:00
67184,-73.9287,40.8398,03:13:00
70704,-73.7699,40.7159,22:35:00
66425,-74.1690,40.5401,00:23:00
66984,-73.9611,40.6641,23:20:00
66136,NULL,NULL,03:10:00
65564,-73.9452,40.5925,00:00:00
67670,-73.9515,40.7995,22:50:00
65675,-73.7745,40.6703,23:45:00
65532,-73.9348,40.8438,16:45:00
67155,-73.8789,40.6864,02:40:00
67095,NULL,NULL,02:25:00
64955,-74.1470,40.5732,19:45:00
64896,NULL,NULL,03:15:00
64555,-73.8735,40.7587,00:22:00
64633,-73.7463,40.6913,10:20:00
64931,-73.9423,40.7989,02:15:00
64581,-73.9736,40.7646,23:00:00
63868,-73.9405,40.8031,01:05:00
65386,-73.9813,40.7207,19:45:00
63432,-73.9088,40.8280,01:31:00
66401,-73.9033,40.6634,21:44:00
63555,NULL,NULL,23:15:00
63676,NULL,NULL,23:30:00
64174,-73.8822,40.6545,21:45:00
64000,-73.8611,40.6664,08:00:00
63410,-73.8830,40.7580,04:07:00
64712,-74.0710,40.6122,19:10:00
63219,-73.9658,40.5995,10:14:00
62611,-74.0269,40.6207,02:23:00
73435,-73.9081,40.6762,02:00:00
63154,-73.9601,40.7564,18:40:00
64527,-73.9652,40.7634,00:02:00
62663,-73.9057,40.8777,00:56:00
63218,-73.8719,40.8964,20:10:00
62508,-73.9214,40.8135,22:45:00
62419,-73.9510,40.6027,22:00:00
65207,-74.1015,40.6104,01:17:00
66530,-74.1443,40.6295,02:42:00
61834,-74.1203,40.5715,22:25:00
69163,-74.1698,40.5611,22:35:00
61355,-73.9206,40.7329,08:06:00
61474,-74.0145,40.6089,21:15:00
61048,-73.8768,40.7033,01:03:00
69423,-74.1577,40.6144,21:00:00
61060,-73.9047,40.8088,18:13:00
60253,-73.9315,40.7072,03:05:00
60610,-73.8525,40.8077,17:35:00
60721,NULL,NULL,19:00:00
60478,-73.9227,40.8205,08:00:00
63535,-73.9115,40.8896,00:00:00
60295,-73.9441,40.7818,02:00:00
60281,-73.8040,40.7537,18:40:00
60361,-73.9105,40.7132,06:00:00
60061,-73.7757,40.6734,04:10:00
60744,NULL,NULL,20:50:00
60352,-73.9269,40.6556,21:30:00
59881,-74.0003,40.6271,06:00:00
60539,-73.9686,40.6785,18:30:00
59913,-73.9048,40.8528,18:25:00
59325,-73.9168,40.8157,00:05:00
60023,NULL,NULL,13:20:00
60403,-73.8698,40.7538,03:50:00
60482,-73.9229,40.8588,16:05:00
60847,-74.0651,40.6012,21:00:00
63768,-73.9108,40.6623,23:30:00
60503,-73.9092,40.6673,14:20:00
59392,-73.9159,40.7587,08:05:00
61041,-73.9601,40.7156,20:20:00
59607,-73.8753,40.7630,03:30:00
59900,NULL,NULL,00:00:00
60571,-73.9403,40.6799,19:09:00
58834,-73.9466,40.7455,00:00:00
58462,-73.7247,40.7245,10:57:00
58682,-73.8859,40.8224,17:45:00
58398,-73.8000,40.6735,12:30:00
57844,-73.9391,40.8216,12:00:00
57849,NULL,NULL,03:17:00
58052,-73.8248,40.7420,22:45:00
58334,-73.9393,40.7233,17:35:00
58096,-73.9071,40.8367,07:25:00
57695,-73.8675,40.7574,04:58:00
57627,-73.8779,40.7667,02:45:00
58295,-73.9297,40.8566,14:40:00
57518,-73.9273,40.8306,05:00:00
57781,NULL,NULL,19:40:00
57537,-73.9259,40.8678,21:24:00
57393,-73.9775,40.6809,20:50:00
56992,-73.8622,40.7607,04:20:00
57177,NULL,NULL,14:00:00
57013,-73.8971,40.8986,01:44:00
56560,-73.7603,40.7617,02:45:00
57484,-73.9385,40.8338,23:04:00
58517,-73.8817,40.8408,11:00:00
56630,-73.9787,40.7286,03:00:00
56998,-73.9275,40.6773,21:21:00
56609,-73.9312,40.6678,03:50:00
57443,-73.9294,40.6977,23:55:00
60518,-73.9194,40.7700,21:49:00
57159,-73.9250,40.7638,23:35:00
56394,-73.9952,40.6661,16:20:00
57149,-73.9168,40.8157,16:37:00
56716,-73.8137,40.6935,20:11:00
56695,-74.0097,40.7388,22:52:00
59501,-73.8678,40.8753,04:20:00
56467,-73.8520,40.8801,23:50:00
56735,-73.9967,40.7536,19:09:00
57252,-74.0264,40.6226,10:57:00
55960,-73.9215,40.8110,07:00:00
55827,-73.8260,40.6900,23:20:00
58395,-73.8801,40.8952,01:28:00
55511,-73.7898,40.7162,15:15:00
59036,-73.9414,40.6282,01:45:00
54900,-73.9745,40.7467,09:58:00
55284,-73.8492,40.7382,17:22:00
55004,-74.0140,40.6382,20:40:00
56039,-73.8790,40.7620,13:30:00
55707,-73.8607,40.7563,00:00:00
55067,-73.7166,40.7417,11:20:00
54557,-73.9870,40.6060,00:40:00
54287,NULL,NULL,01:55:00
54036,-73.8331,40.6908,02:24:00
55296,-73.8638,40.7467,22:40:00
56854,-74.1663,40.6322,01:55:00
54455,-73.9884,40.6593,22:05:00
53356,-73.8958,40.7315,04:20:00
54568,-73.9845,40.6960,06:30:00
54241,-73.9035,40.8446,03:31:00
53471,-73.9287,40.8398,07:30:00
53124,-73.9755,40.6496,03:59:00
54046,-73.8613,40.8151,20:12:00
53136,NULL,NULL,00:00:00
53298,-73.8501,40.8188,14:00:00
53259,-73.9392,40.7483,12:15:00
53871,-73.9201,40.6611,05:00:00
53547,-73.9196,40.6547,00:00:00
53503,-73.9457,40.7118,05:51:00
53502,-73.9762,40.6836,19:30:00
53242,-73.9069,40.8112,14:00:00
53252,-73.8587,40.8558,06:00:00
53275,-73.9161,40.8490,04:32:00
54015,-73.9015,40.8129,01:24:00
52687,-73.8607,40.7563,06:00:00
55021,-74.1603,40.5509,23:12:00
54617,-74.0791,40.5968,23:51:00
53019,-74.0002,40.6353,02:03:00
52991,NULL,NULL,05:29:00
52813,NULL,NULL,23:43:00
54273,-74.1148,40.6423,23:30:00
52857,-73.9419,40.8228,23:30:00
53478,-73.8991,40.8571,15:00:00
52295,-73.9534,40.7448,23:30:00
57249,-74.1110,40.6107,23:05:00
53866,-73.9496,40.6512,11:55:00
51839,-73.9907,40.6891,09:01:00
51800,-73.7624,40.6917,18:45:00
52922,-73.9503,40.7006,04:00:00
51327,-73.9227,40.6341,00:05:00
51593,-73.9279,40.8106,08:25:00
51995,-73.8108,40.6752,22:40:00
52025,-73.7376,40.7165,18:04:00
51498,-73.7587,40.7646,16:20:00
51354,-73.7359,40.7591,17:40:00
51440,-73.7657,40.7548,17:46:00
51094,-73.9214,40.6914,00:39:00
51271,-73.8787,40.7435,05:25:00
52528,-73.7738,40.6597,19:00:00
51654,-73.9453,40.6186,13:30:00
51380,-73.9106,40.7448,23:14:00
51818,-73.8659,40.8299,18:35:00
51466,-73.9494,40.8355,00:30:00
50988,-73.8598,40.7118,05:39:00
50873,-73.9593,40.7593,01:50:00
51788,-73.9791,40.7801,01:40:00
50583,NULL,NULL,03:15:00
50821,-73.7959,40.6902,17:00:00
50643,-73.8337,40.7563,02:15:00
51073,-73.9209,40.8054,17:45:00
51219,-73.9224,40.8047,18:32:00
50922,-73.9549,40.8051,22:40:00
50491,-73.9116,40.8169,21:51:00
50069,NULL,NULL,05:00:00
50049,-73.9560,40.6391,04:53:00
50518,-74.0111,40.6133,21:35:00
50416,-73.8808,40.8441,22:22:00
51057,-74.1113,40.5818,23:00:00
50371,-73.8717,40.7468,06:15:00
50492,-73.9507,40.6541,12:00:00
50288,-73.7588,40.6646,07:35:00
50074,-73.8484,40.7928,22:35:00
50060,-74.0296,40.6049,23:50:00
50689,-73.9228,40.7740,13:34:00
50603,-73.9264,40.7716,13:24:00
50210,-73.9131,40.8452,04:15:00
50163,-73.9140,40.8486,04:45:00
50374,-73.9452,40.8159,03:40:00
50415,-73.8698,40.8826,05:10:00
50164,-73.8807,40.8375,05:00:00
50132,-74.1107,40.5933,19:40:00
49553,-73.8551,40.7415,02:05:00
50287,-73.8815,40.7375,05:37:00
53487,-73.9365,40.6709,22:00:00
50344,NULL,NULL,00:16:00
49493,-74.0140,40.6382,21:15:00
49631,-74.0013,40.6469,23:00:00
50286,-73.8957,40.7308,18:17:00
50351,-73.9260,40.8636,00:46:00
50411,-73.9294,40.8623,00:49:00
50528,-74.1104,40.5867,01:54:00
50298,-73.8557,40.8789,06:03:00
51007,-73.9300,40.6841,23:45:00
50290,-74.1065,40.6192,02:20:00
49094,-73.9643,40.7564,22:58:00
54228,-73.9772,40.6307,01:13:00
48672,-73.9735,40.7438,08:46:00
51321,-73.9216,40.7007,02:55:00
49418,-73.8797,40.7502,04:19:00
50223,-73.8619,40.7632,23:56:00
48072,-73.8965,40.6226,11:55:00
48403,NULL,NULL,16:27:00
48518,NULL,NULL,00:45:00
47600,-73.9434,40.8260,01:20:00
48338,-73.7608,40.6052,21:15:00
47464,-73.9028,40.7457,15:30:00
47055,-73.8725,40.7046,04:35:00
47331,-74.0219,40.6374,05:05:00
46997,-74.0311,40.6160,05:10:00
46939,-74.0125,40.7191,19:05:00
47038,NULL,NULL,01:00:00
47034,-73.8052,40.6851,21:16:00
46995,-73.9198,40.6714,02:12:00
47672,-73.8930,40.8601,02:10:00
46835,-73.8761,40.7039,04:40:00
46816,-74.0019,40.7194,03:46:00
46508,-73.9888,40.7535,04:05:00
46913,-74.2113,40.5568,04:10:00
46777,-73.9253,40.6791,06:50:00
46855,-73.8046,40.6773,14:54:00
48419,NULL,NULL,07:54:00
47241,-73.9198,40.6918,19:45:00
47220,-74.0121,40.6758,17:42:00
47186,-73.8667,40.8209,05:30:00
46829,-73.8627,40.8918,00:42:00
46813,-73.7516,40.5951,06:39:00
50244,-73.8308,40.8475,09:37:00
56420,-73.7899,40.7026,05:30:00
45972,-73.9617,40.7985,03:24:00
46759,-74.1399,40.5661,00:34:00
46009,-73.8266,40.6834,17:00:00
45898,-74.0047,40.6186,00:50:00
47080,-73.9361,40.7980,04:45:00
48396,-73.9479,40.6679,05:00:00
45877,-73.9530,40.6787,01:39:00
45750,NULL,NULL,02:30:00
45001,-73.9079,40.7130,04:07:00
46791,-73.9189,40.8316,09:50:00
47242,-74.0177,40.6450,04:05:00
45229,-73.9386,40.6294,21:30:00
48178,-73.9369,40.8149,23:35:00
45357,-74.0146,40.6513,19:01:00
44779,-74.1663,40.6322,00:00:00
44427,-73.9781,40.7457,18:30:00
44116,-73.8558,40.7311,01:30:00
44520,-73.9229,40.8133,19:40:00
44643,-73.9886,40.7691,06:30:00
44396,-74.0756,40.6185,07:00:00
43899,NULL,NULL,01:34:00
51856,-73.9841,40.7548,12:39:00
43871,NULL,NULL,23:16:00
43348,-73.9624,40.6985,00:13:00
42815,-73.9203,40.8626,21:28:00
42326,-73.9293,40.6513,15:44:00
42076,-73.9937,40.7416,03:55:00
42075,-73.9593,40.6529,03:35:00
42870,-73.9058,40.6483,04:59:00
40934,-73.7390,40.7571,01:02:00
42796,-73.9463,40.7922,22:54:00
41131,-73.8820,40.6846,02:09:00
41225,-73.9145,40.6478,15:45:00
40721,-73.8347,40.6671,20:15:00
40041,-74.0100,40.6301,10:40:00
39927,-73.8042,40.7160,20:54:00
40205,-73.9299,40.8011,23:30:00
40556,-73.9362,40.7756,22:35:00
39682,-74.2193,40.5451,00:25:00
39705,-73.7838,40.7199,02:30:00
39772,-74.0036,40.6447,04:10:00
39588,-73.8141,40.6826,03:45:00
39687,-73.8896,40.7391,04:15:00
39933,-74.1279,40.6247,23:52:00
39845,-73.9647,40.6224,06:16:00
40158,-73.9200,40.6528,03:55:00
39824,-73.8225,40.7037,02:09:00
39974,-73.9924,40.6361,23:00:00
39734,-73.8474,40.6839,12:25:00
40579,-73.9620,40.5815,18:10:00
40114,-73.8163,40.6893,03:25:00
39728,-73.9526,40.8082,17:35:00
39560,-73.9464,40.8090,03:20:00
40476,-73.9449,40.7068,04:52:00
39718,-73.8057,40.7047,03:57:00
39628,-73.9482,40.6644,16:28:00
39130,-73.8321,40.7028,04:00:00
38920,-73.9540,40.7071,09:15:00
39839,-74.1717,40.5592,22:20:00
39785,-73.9281,40.8651,21:30:00
39288,-73.9592,40.6405,17:08:00
39855,-74.1991,40.5467,21:40:00
39990,-73.8769,40.7562,00:13:00
38724,-73.9303,40.8133,19:00:00
38257,-73.9228,40.6671,01:30:00
38496,-73.8937,40.7604,22:00:00
38720,-74.0972,40.6319,13:00:00
38395,-73.8052,40.7516,02:40:00
39606,-73.9150,40.6394,04:02:00
44285,-73.9947,40.6896,07:27:00
37623,-73.9148,40.8252,00:53:00
37962,-73.9419,40.7007,22:29:00
42919,-73.8108,40.7021,04:30:00
37878,-73.7782,40.6919,21:00:00
39702,-73.9350,40.7612,04:00:00
37990,-73.9857,40.7179,21:30:00
37618,-73.9446,40.8410,19:46:00
37755,-73.8870,40.7591,21:14:00
37260,NULL,NULL,02:50:00
37413,-73.8064,40.7565,19:15:00
37171,-73.8130,40.7321,05:15:00
37645,-73.8460,40.9049,05:25:00
37233,-73.8970,40.8673,20:30:00
36998,-73.8090,40.6960,17:35:00
36735,-73.9743,40.6455,02:50:00
36803,NULL,NULL,17:00:00
36694,NULL,NULL,00:00:00
36614,-73.9726,40.6067,02:45:00
36367,-73.7726,40.6822,01:00:00
36332,-73.8257,40.7157,00:15:00
36335,-73.9547,40.6448,01:30:00
36418,-73.9044,40.7003,00:00:00
36582,-73.8766,40.7074,15:15:00
36359,0.0000,0.0000,18:50:00
36283,0.0000,0.0000,08:15:00
36510,-73.9761,40.7358,18:00:00
36647,NULL,NULL,20:18:00
36460,-73.7957,40.7051,04:20:00
36580,-73.8987,40.8140,23:45:00
36255,0.0000,0.0000,13:20:00
35875,-73.9007,40.8389,15:48:00
36661,-73.9837,40.6152,11:00:00
46643,-73.8641,40.7549,04:32:00
43659,-73.9177,40.6870,06:56:00
44296,NULL,NULL,02:16:00
47015,-74.1646,40.6199,03:20:00
46424,-74.0726,40.5984,22:00:00
43399,-73.9310,40.8040,02:16:00
42819,-73.9243,40.7022,01:07:00
42818,-73.8694,40.8974,03:30:00
42853,-73.9785,40.7411,03:05:00
42916,-73.8132,40.7009,00:01:00
43617,-73.8271,40.8317,00:00:00
43113,-73.8624,40.6537,22:35:00
42922,-73.9804,40.5830,19:28:00
43077,-73.8239,40.8251,23:22:00
43245,-73.8690,40.8578,16:37:00
43325,-73.9439,40.8236,03:20:00
44719,-74.0162,40.6072,18:40:00
36529,-73.9208,40.6979,21:20:00
35620,-73.9784,40.6879,23:05:00
35618,-73.9054,40.6964,19:27:00
37805,-73.9367,40.8272,01:00:00
35156,-74.1140,40.5728,01:25:00
35358,-73.9682,40.6373,17:10:00
36641,-74.2495,40.5083,10:18:00
35098,-73.9360,40.8121,23:00:00
35443,-73.9928,40.6681,06:48:00
35171,-73.8934,40.8365,09:20:00
35184,-73.8213,40.6725,02:00:00
35356,-73.7792,40.6917,14:50:00
35071,-73.9224,40.8361,21:21:00
35151,-73.8584,40.7540,18:30:00
34859,-73.7493,40.6083,15:50:00
35225,-73.8646,40.8596,22:28:00
35090,-73.8440,40.8560,03:15:00
34724,-74.0818,40.6173,17:40:00
34527,-73.7433,40.7526,07:49:00
34654,-73.8643,40.7608,18:00:00
34426,-73.7497,40.7698,00:00:00
34373,-73.8765,40.6425,01:30:00
34459,-73.8657,40.8830,00:45:00
34330,-73.9190,40.7787,16:40:00
34231,-73.8865,40.8747,10:20:00
